"","LSOA21CD","MSOA21CD"
"10375","E01013560","E02002814"
"10376","E01013563","E02002814"
"10377","E01013559","E02002810"
"10378","E01013557","E02002810"
"10379","E01013556","E02002810"
"10380","E01013558","E02002810"
"10381","E01013561","E02002814"
"10382","E01019599","E02007029"
"10383","E01019600","E02004069"
"10384","E01019601","E02007029"
"10385","E01019617","E02007029"
"10386","E01019613","E02007029"
"10387","E01019630","E02007029"
"10388","E01019632","E02004073"
"10389","E01019618","E02004069"
"10390","E01019606","E02004069"
"10391","E01019620","E02004073"
"10392","E01019608","E02007029"
"10393","E01019609","E02004072"
"10394","E01019610","E02007029"
"10395","E01019623","E02004073"
"10396","E01019605","E02004075"
"10397","E01019611","E02004075"
"10398","E01019622","E02004072"
"10399","E01019626","E02004073"
"10400","E01019624","E02004072"
"10401","E01019628","E02004072"
"10402","E01019625","E02004073"
"10403","E01019621","E02004072"
"10404","E01019619","E02004073"
"10405","E01019636","E02004074"
"10406","E01019633","E02004074"
"10407","E01019405","E02004035"
"10408","E01019635","E02004074"
"10409","E01019616","E02004075"
"10410","E01019634","E02004074"
"10411","E01019406","E02004030"
"10412","E01019423","E02004030"
"10413","E01019627","E02004072"
"10414","E01019769","E02004114"
"10415","E01019424","E02004030"
"10416","E01019411","E02004039"
"10417","E01019410","E02004039"
"10418","E01019412","E02004037"
"10419","E01019449","E02004039"
"10420","E01019418","E02004039"
"10421","E01019450","E02004043"
"10422","E01019448","E02004043"
"10423","E01019446","E02004043"
"10424","E01019419","E02004038"
"10425","E01019407","E02004038"
"10426","E01019408","E02004037"
"10427","E01019416","E02004037"
"10428","E01019401","E02004029"
"10429","E01019477","E02004030"
"10430","E01019414","E02004035"
"10431","E01019415","E02004038"
"10432","E01019409","E02004037"
"10433","E01019417","E02004038"
"10434","E01019413","E02004037"
"10435","E01019428","E02004035"
"10436","E01019429","E02004034"
"10437","E01019430","E02004035"
"10438","E01019458","E02004036"
"10439","E01019456","E02004033"
"10440","E01019459","E02004036"
"10441","E01019457","E02004033"
"10442","E01019461","E02004034"
"10443","E01019454","E02004034"
"10444","E01019455","E02004033"
"10445","E01019462","E02004034"
"10446","E01019463","E02004036"
"10447","E01019420","E02004033"
"10448","E01019422","E02004036"
"10449","E01019421","E02004036"
"10450","E01019476","E02004032"
"10451","E01019521","E02004052"
"10452","E01019520","E02004052"
"10453","E01019819","E02004117"
"10454","E01019818","E02004117"
"10455","E01019817","E02004117"
"10456","E01019820","E02004117"
"10457","E01019814","E02004117"
"10458","E01019404","E02004029"
"10459","E01019471","E02004031"
"10460","E01019403","E02004031"
"10461","E01019400","E02004029"
"10462","E01019402","E02004029"
"10463","E01019473","E02004032"
"10464","E01019516","E02004053"
"10465","E01019460","E02004034"
"10466","E01019432","E02004036"
"10467","E01019442","E02004033"
"10468","E01019475","E02004032"
"10469","E01019474","E02004032"
"10470","E01019470","E02004032"
"10471","E01019443","E02004032"
"10472","E01019469","E02004031"
"10473","E01019519","E02004053"
"10474","E01019514","E02004053"
"10475","E01019515","E02004053"
"10476","E01019513","E02004054"
"10477","E01019517","E02004054"
"10478","E01019500","E02004054"
"10479","E01019518","E02004054"
"10480","E01019501","E02004054"
"10481","E01019444","E02004031"
"10482","E01019445","E02004033"
"10483","E01019468","E02004031"
"10484","E01027960","E02005829"
"10485","E01019499","E02004054"
"10486","E01019480","E02004052"
"10487","E01019481","E02004053"
"10488","E01019482","E02004052"
"10489","E01019813","E02004115"
"10490","E01019427","E02004044"
"10491","E01019425","E02004044"
"10492","E01019598","E02004076"
"10493","E01019595","E02004075"
"10494","E01019607","E02004077"
"10495","E01019596","E02004076"
"10496","E01019594","E02004076"
"10497","E01019597","E02004076"
"10498","E01029801","E02006210"
"10499","E01029467","E02006131"
"10500","E01019629","E02004077"
"10501","E01019603","E02004077"
"10502","E01019612","E02004077"
"10503","E01019866","E02004118"
"10504","E01029425","E02006136"
"10505","E01019846","E02004118"
"10506","E01019847","E02004119"
"10507","E01033532","E02004119"
"10508","E01019848","E02004119"
"10509","E01033533","E02004119"
"10510","E01019882","E02004120"
"10511","E01019880","E02004122"
"10512","E01019869","E02004122"
"10513","E01019841","E02004119"
"10514","E01033534","E02004119"
"10515","E01019672","E02004080"
"10516","E01019855","E02004123"
"10517","E01025924","E02005397"
"10518","E01025964","E02005401"
"10519","E01019853","E02004123"
"10520","E01019854","E02004123"
"10521","E01013520","E02002826"
"10522","E01013514","E02002826"
"10523","E01033170","E02002825"
"10524","E01013515","E02002826"
"10525","E01033168","E02002825"
"10526","E01033169","E02002825"
"10527","E01013519","E02002826"
"10528","E01019833","E02004121"
"10529","E01025945","E02005398"
"10530","E01025946","E02005398"
"10531","E01025944","E02005398"
"10532","E01028408","E02005919"
"10533","E01019832","E02004121"
"10534","E01035098","E02005397"
"10535","E01035099","E02005397"
"10536","E01025928","E02005397"
"10537","E01025926","E02005397"
"10538","E01025927","E02005397"
"10539","E01025923","E02005398"
"10540","E01019641","E02004088"
"10541","E01019643","E02004090"
"10542","E01019642","E02004090"
"10543","E01019684","E02004086"
"10544","E01019685","E02004086"
"10545","E01019683","E02004086"
"10546","E01019654","E02004090"
"10547","E01019687","E02004086"
"10548","E01019655","E02004090"
"10549","E01019686","E02004086"
"10550","E01019656","E02004085"
"10551","E01019695","E02004087"
"10552","E01019659","E02004083"
"10553","E01019657","E02004080"
"10554","E01019658","E02004083"
"10555","E01019668","E02004084"
"10556","E01019666","E02004084"
"10557","E01019667","E02004084"
"10558","E01019669","E02004084"
"10559","E01019673","E02004082"
"10560","E01019674","E02004083"
"10561","E01019660","E02004080"
"10562","E01019688","E02004083"
"10563","E01019690","E02004080"
"10564","E01019689","E02004083"
"10565","E01019661","E02004080"
"10566","E01019662","E02004080"
"10567","E01032613","E02006827"
"10568","E01028106","E02006906"
"10569","E01019638","E02006828"
"10570","E01019703","E02004082"
"10571","E01019464","E02004040"
"10572","E01019465","E02004043"
"10573","E01019701","E02004081"
"10574","E01019702","E02004082"
"10575","E01019440","E02004041"
"10576","E01019431","E02004040"
"10577","E01019436","E02004041"
"10578","E01019439","E02004041"
"10579","E01019434","E02004041"
"10580","E01019437","E02006827"
"10581","E01019441","E02006827"
"10582","E01019433","E02004040"
"10583","E01019438","E02004040"
"10584","E01019435","E02004041"
"10585","E01019453","E02006827"
"10586","E01019663","E02004078"
"10587","E01019645","E02006828"
"10588","E01019639","E02006828"
"10589","E01019640","E02006828"
"10590","E01019644","E02004078"
"10591","E01019646","E02004078"
"10592","E01019665","E02004078"
"10593","E01019664","E02004078"
"10594","E01032614","E02006828"
"10595","S01007612","S02001430"
"10596","S01007622","S02001433"
"10597","S01007566","S02001421"
"10598","S01007613","S02001431"
"10599","S01007574","S02001423"
"10600","S01007568","S02001421"
"10601","S01007614","S02001431"
"10602","S01007627","S02001434"
"10603","S01007610","S02001430"
"10604","S01007615","S02001431"
"10605","S01007617","S02001432"
"10606","S01007620","S02001432"
"10607","S01007618","S02001432"
"10608","S01007569","S02001421"
"10609","S01007623","S02001433"
"10610","S01007570","S02001422"
"10611","S01007619","S02001432"
"10612","S01007611","S02001430"
"10613","S01007609","S02001430"
"10614","S01007600","S02001427"
"10615","S01007616","S02001431"
"10616","S01007625","S02001433"
"10617","S01007629","S02001434"
"10618","S01007628","S02001434"
"10619","S01007606","S02001429"
"10620","S01007567","S02001421"
"10621","S01007626","S02001433"
"10622","S01007621","S02001432"
"10623","S01007624","S02001433"
"10624","S01007631","S02001435"
"10625","S01007604","S02001428"
"10626","S01007607","S02001429"
"10627","S01007598","S02001427"
"10628","S01007630","S02001434"
"10629","S01007603","S02001428"
"10630","S01007605","S02001429"
"10631","S01007608","S02001429"
"10632","S01007601","S02001428"
"10633","S01007599","S02001427"
"10634","S01007597","S02001427"
"10635","S01007602","S02001428"
"10636","S01007657","S02001440"
"10637","S01007593","S02001426"
"10638","S01007642","S02001437"
"10639","S01007643","S02001437"
"10640","S01007644","S02001437"
"10641","S01007641","S02001437"
"10642","S01007645","S02001437"
"10643","S01012570","S02002354"
"10644","S01007656","S02001440"
"10645","S01007633","S02001435"
"10646","S01007640","S02001436"
"10647","S01007638","S02001436"
"10648","S01007634","S02001435"
"10649","S01007632","S02001435"
"10650","S01007639","S02001436"
"10651","S01007636","S02001436"
"10652","S01007635","S02001436"
"10653","S01007637","S02001436"
"10654","S01007655","S02001439"
"10655","S01007653","S02001439"
"10656","S01007651","S02001439"
"10657","S01007652","S02001439"
"10658","S01007654","S02001439"
"10659","S01007671","S02001442"
"10660","S01007662","S02001441"
"10661","S01007664","S02001442"
"10662","S01007663","S02001441"
"10663","S01007665","S02001442"
"10664","S01007666","S02001442"
"10665","S01007667","S02001442"
"10666","S01007668","S02001442"
"10667","S01007659","S02001440"
"10668","S01007658","S02001440"
"10669","S01007661","S02001441"
"10670","S01007673","S02001443"
"10671","S01007660","S02001441"
"10672","S01007672","S02001443"
"10673","S01007670","S02001442"
"10674","S01007669","S02001442"
"10675","S01007674","S02001443"
"10676","S01007675","S02001443"
"10677","S01007648","S02001438"
"10678","S01007647","S02001438"
"10679","S01007649","S02001438"
"10680","S01007646","S02001438"
"10681","S01007650","S02001438"
"10682","S01012355","S02002315"
"10683","S01007583","S02001424"
"10684","S01007582","S02001424"
"10685","S01007575","S02001423"
"10686","S01007564","S02001421"
"10687","S01007581","S02001423"
"10688","S01007585","S02001424"
"10689","S01007578","S02001423"
"10690","S01007576","S02001423"
"10691","S01007577","S02001423"
"10692","S01007579","S02001423"
"10693","S01007571","S02001422"
"10694","S01007580","S02001423"
"10695","S01007565","S02001421"
"10696","S01007587","S02001424"
"10697","S01007589","S02001425"
"10698","S01007592","S02001425"
"10699","S01007572","S02001422"
"10700","S01007591","S02001425"
"10701","S01007590","S02001425"
"10702","S01007588","S02001425"
"10703","S01007596","S02001426"
"10704","S01007544","S02001417"
"10705","S01007546","S02001417"
"10706","S01007547","S02001418"
"10707","S01007595","S02001426"
"10708","S01007545","S02001417"
"10709","S01007594","S02001426"
"10710","S01007584","S02001424"
"10711","S01007586","S02001424"
"10712","S01007573","S02001422"
"10713","S01007559","S02001420"
"10714","S01007562","S02001420"
"10715","S01007563","S02001420"
"10716","S01007560","S02001420"
"10717","S01007561","S02001420"
"10718","S01007557","S02001419"
"10719","S01007556","S02001419"
"10720","S01007555","S02001419"
"10721","S01007558","S02001419"
"10722","S01007553","S02001419"
"10723","S01007552","S02001419"
"10724","S01007554","S02001419"
"10725","S01007540","S02001416"
"10726","S01007541","S02001416"
"10727","S01007539","S02001416"
"10728","S01007543","S02001416"
"10729","S01007542","S02001416"
"10730","S01007538","S02001415"
"10731","S01007537","S02001415"
"10732","S01007526","S02001414"
"10733","S01007528","S02001414"
"10734","S01007527","S02001414"
"10735","S01007530","S02001414"
"10736","S01007529","S02001414"
"10737","S01007525","S02001413"
"10738","S01007524","S02001413"
"10739","S01007531","S02001414"
"10740","S01007536","S02001415"
"10741","S01007535","S02001415"
"10742","S01007534","S02001415"
"10743","S01007533","S02001414"
"10744","S01007532","S02001414"
"10745","S01007523","S02001413"
"10746","S01007521","S02001413"
"10747","S01007520","S02001412"
"10748","S01007522","S02001413"
"10749","S01007549","S02001418"
"10750","S01007548","S02001418"
"10751","S01007551","S02001418"
"10752","S01007550","S02001418"
"10753","S01007519","S02001412"
"10754","S01007503","S02001410"
"10755","S01007502","S02001410"
"10756","S01007504","S02001410"
"10757","S01007505","S02001410"
"10758","S01007514","S02001412"
"10759","S01007513","S02001412"
"10760","S01007517","S02001412"
"10761","S01007518","S02001412"
"10762","S01007506","S02001411"
"10763","S01007516","S02001412"
"10764","S01007515","S02001412"
"10765","S01012419","S02002329"
"10766","S01007510","S02001411"
"10767","S01007508","S02001411"
"10768","S01007509","S02001411"
"10769","S01007511","S02001411"
"10770","S01007512","S02001411"
"10771","S01007507","S02001411"
"10772","S01007484","S02001405"
"10773","S01007481","S02001405"
"10774","S01007483","S02001405"
"10775","S01007482","S02001405"
"10776","S01007495","S02001408"
"10777","S01007494","S02001408"
"10778","S01007487","S02001406"
"10779","S01007490","S02001407"
"10780","S01007492","S02001407"
"10781","S01007491","S02001407"
"10782","S01007488","S02001406"
"10783","S01007485","S02001405"
"10784","S01007486","S02001405"
"10785","S01007493","S02001407"
"10786","S01007497","S02001408"
"10787","S01007489","S02001406"
"10788","S01007496","S02001408"
"10789","S01007498","S02001408"
"10790","S01007499","S02001409"
"10791","S01007501","S02001409"
"10792","S01007500","S02001409"
"10793","E01034493","E02004314"
"10794","E01020683","E02004312"
"10795","E01020690","E02004312"
"10796","E01020691","E02004312"
"10797","E01020693","E02004313"
"10798","E01033195","E02004314"
"10799","E01020692","E02004312"
"10800","E01020723","E02004313"
"10801","E01020722","E02004313"
"10802","E01020712","E02004315"
"10803","E01020682","E02004312"
"10804","E01020702","E02004315"
"10805","E01020727","E02004311"
"10806","E01020590","E02004295"
"10807","E01020607","E02004296"
"10808","E01020681","E02004310"
"10809","E01020698","E02004319"
"10810","E01020696","E02004318"
"10811","E01034496","E02004315"
"10812","E01020724","E02004313"
"10813","E01020732","E02004318"
"10814","E01020725","E02004311"
"10815","E01020731","E02004311"
"10816","E01020729","E02004311"
"10817","E01033197","E02004314"
"10818","E01020703","E02004314"
"10819","E01034498","E02004315"
"10820","E01034497","E02004315"
"10821","E01034499","E02004315"
"10822","E01020704","E02004315"
"10823","E01020714","E02004310"
"10824","E01020680","E02004310"
"10825","E01020708","E02004309"
"10826","E01020711","E02004309"
"10827","E01020710","E02004309"
"10828","E01020709","E02004308"
"10829","E01020720","E02004309"
"10830","E01020718","E02004308"
"10831","E01020719","E02004308"
"10832","E01020721","E02004308"
"10833","E01020717","E02004308"
"10834","E01020611","E02004292"
"10835","E01020612","E02004292"
"10836","E01008175","E02001707"
"10837","E01008223","E02001706"
"10838","E01020613","E02004290"
"10839","E01020614","E02004290"
"10840","E01008226","E02001706"
"10841","E01020622","E02004290"
"10842","E01020615","E02004291"
"10843","E01020617","E02004291"
"10844","E01020616","E02004291"
"10845","E01020593","E02004293"
"10846","E01020623","E02004290"
"10847","E01020592","E02004293"
"10848","E01020597","E02004292"
"10849","E01020618","E02004293"
"10850","E01020601","E02004293"
"10851","E01020602","E02004293"
"10852","E01020599","E02004293"
"10853","E01020596","E02004292"
"10854","E01020605","E02004294"
"10855","E01020604","E02004296"
"10856","E01020600","E02004294"
"10857","E01020603","E02004294"
"10858","E01020606","E02004291"
"10859","E01008174","E02001707"
"10860","E01008222","E02001706"
"10861","E01008224","E02001706"
"10862","E01008873","E02001800"
"10863","E01008173","E02001707"
"10864","E01008172","E02001707"
"10865","E01008176","E02001707"
"10866","E01020595","E02004294"
"10867","E01020594","E02004294"
"10868","E01020598","E02004292"
"10869","E01020591","E02004295"
"10870","E01020608","E02004295"
"10871","E01020610","E02004295"
"10872","E01020609","E02004295"
"10873","E01008754","E02001824"
"10874","E01008753","E02001823"
"10875","E01008720","E02001822"
"10876","E01034518","E02001820"
"10877","E01008751","E02001823"
"10878","E01008721","E02001822"
"10879","E01008796","E02001822"
"10880","E01032483","E02001822"
"10881","E01008793","E02001820"
"10882","E01034519","E02001820"
"10883","E01008795","E02001820"
"10884","E01008749","E02001824"
"10885","E01008750","E02001823"
"10886","E01008752","E02001823"
"10887","E01008747","E02001825"
"10888","E01008755","E02001823"
"10889","E01020726","E02004311"
"10890","E01008744","E02001826"
"10891","E01008801","E02001820"
"10892","E01032484","E02001822"
"10893","E01008800","E02001820"
"10894","E01008799","E02001815"
"10895","E01008745","E02001826"
"10896","E01008742","E02001825"
"10897","E01008743","E02001826"
"10898","E01008746","E02001826"
"10899","E01008715","E02001824"
"10900","E01008714","E02001824"
"10901","E01008717","E02001824"
"10902","E01008716","E02001824"
"10903","E01008719","E02001825"
"10904","E01008718","E02001825"
"10905","E01008748","E02001825"
"10906","E01020730","E02004311"
"10907","E01020763","E02004326"
"10908","E01020756","E02004324"
"10909","E01020761","E02004326"
"10910","E01020760","E02004326"
"10911","E01033205","E02004323"
"10912","E01020762","E02004326"
"10913","E01033206","E02004323"
"10914","E01033161","E02004323"
"10915","E01020776","E02004323"
"10916","E01020789","E02004331"
"10917","E01020790","E02004331"
"10918","E01020791","E02004331"
"10919","E01020788","E02004331"
"10920","E01020701","E02004319"
"10921","E01020699","E02004319"
"10922","E01020700","E02004319"
"10923","E01020695","E02004319"
"10924","E01020797","E02004336"
"10925","E01020697","E02004318"
"10926","E01020694","E02004318"
"10927","E01020843","E02004333"
"10928","E01020820","E02004335"
"10929","E01020808","E02004336"
"10930","E01020633","E02004306"
"10931","E01020664","E02004306"
"10932","E01020666","E02004306"
"10933","E01020638","E02004300"
"10934","E01020665","E02004306"
"10935","E01020620","E02004296"
"10936","E01020619","E02004296"
"10937","E01020621","E02004296"
"10938","E01020660","E02004307"
"10939","E01020658","E02004307"
"10940","E01020679","E02004310"
"10941","E01034495","E02004316"
"10942","E01034494","E02004316"
"10943","E01020689","E02004317"
"10944","E01020716","E02004310"
"10945","E01020705","E02004316"
"10946","E01020686","E02004317"
"10947","E01020688","E02004317"
"10948","E01020687","E02004317"
"10949","E01020685","E02004317"
"10950","E01020903","E02004350"
"10951","E01020646","E02004307"
"10952","E01020706","E02004316"
"10953","E01020659","E02004307"
"10954","E01020632","E02004303"
"10955","E01020656","E02004298"
"10956","E01020629","E02004298"
"10957","E01020627","E02004298"
"10958","E01020628","E02004298"
"10959","E01020657","E02004298"
"10960","E01020669","E02004304"
"10961","E01020641","E02004303"
"10962","E01020643","E02004303"
"10963","E01020640","E02004303"
"10964","E01034490","E02004305"
"10965","E01034489","E02004305"
"10966","E01020642","E02004303"
"10967","E01034491","E02004305"
"10968","E01020655","E02004298"
"10969","E01020667","E02004303"
"10970","E01020668","E02004304"
"10971","E01020650","E02004304"
"10972","E01020651","E02004304"
"10973","E01020652","E02004304"
"10974","E01020645","E02004305"
"10975","E01020637","E02004305"
"10976","E01020631","E02004305"
"10977","E01020630","E02004305"
"10978","E01035637","E02007107"
"10979","E01020891","E02004348"
"10980","E01020661","E02004299"
"10981","E01020675","E02004301"
"10982","E01020662","E02004299"
"10983","E01020663","E02004299"
"10984","E01020674","E02004299"
"10985","E01020672","E02004302"
"10986","E01020648","E02004301"
"10987","E01020649","E02004301"
"10988","E01020677","E02004300"
"10989","E01020673","E02004301"
"10990","E01020670","E02004302"
"10991","E01020647","E02004301"
"10992","E01020671","E02004302"
"10993","E01020625","E02004302"
"10994","E01020624","E02004302"
"10995","E01020626","E02004300"
"10996","E01020678","E02004299"
"10997","E01020639","E02004300"
"10998","E01020653","E02004300"
"10999","E01020654","E02004297"
"11000","E01020676","E02004297"
"11001","E01008259","E02001688"
"11002","E01035187","E02007058"
"11003","E01012304","E02002570"
"11004","E01035183","E02002567"
"11005","E01012342","E02002567"
"11006","E01035184","E02002567"
"11007","E01012319","E02002571"
"11008","E01020862","E02004345"
"11009","E01012352","E02002562"
"11010","E01012307","E02002567"
"11011","E01012354","E02007058"
"11012","E01035186","E02002568"
"11013","E01012306","E02002570"
"11014","E01012326","E02002563"
"11015","E01012331","E02002561"
"11016","E01012333","E02002563"
"11017","E01012332","E02002563"
"11018","E01012327","E02002567"
"11019","E01012325","E02002563"
"11020","E01012349","E02002562"
"11021","E01012350","E02002562"
"11022","E01012351","E02002562"
"11023","E01012330","E02002561"
"11024","E01012334","E02002559"
"11025","E01032546","E02002560"
"11026","E01032545","E02002560"
"11027","E01012366","E02002559"
"11028","E01012324","E02002560"
"11029","E01012329","E02002561"
"11030","E01012328","E02002561"
"11031","E01020828","E02004339"
"11032","E01020826","E02004344"
"11033","E01012357","E02002572"
"11034","E01012305","E02002570"
"11035","E01012340","E02002570"
"11036","E01012317","E02002571"
"11037","E01012341","E02002570"
"11038","E01012318","E02002571"
"11039","E01012359","E02002572"
"11040","E01012356","E02002572"
"11041","E01012358","E02002572"
"11042","E01012360","E02002568"
"11043","E01012361","E02002569"
"11044","E01027766","E02005783"
"11045","E01027770","E02005783"
"11046","E01027769","E02005783"
"11047","E01027742","E02005786"
"11048","E01034965","E02005785"
"11049","E01027765","E02005783"
"11050","E01027773","E02005786"
"11051","E01027762","E02005782"
"11052","E01027767","E02005783"
"11053","E01027768","E02005783"
"11054","E01027745","E02005784"
"11055","E01027761","E02005782"
"11056","E01027752","E02005782"
"11057","E01027759","E02005782"
"11058","E01027743","E02005782"
"11059","E01027604","E02005754"
"11060","E01027751","E02005782"
"11061","E01027747","E02005784"
"11062","E01027746","E02005784"
"11063","E01027748","E02005784"
"11064","E01027756","E02005787"
"11065","E01027603","E02005754"
"11066","E01027764","E02005786"
"11067","E01020863","E02007022"
"11068","E01020857","E02007022"
"11069","E01034511","E02007022"
"11070","E01020867","E02004345"
"11071","E01020853","E02007022"
"11072","E01020854","E02007022"
"11073","E01020852","E02007022"
"11074","E01020855","E02007022"
"11075","E01020889","E02004348"
"11076","E01020872","E02004353"
"11077","E01020890","E02004348"
"11078","E01020868","E02004352"
"11079","E01020906","E02004348"
"11080","E01020905","E02004348"
"11081","E01020864","E02004345"
"11082","E01020861","E02004345"
"11083","E01020892","E02004349"
"11084","E01020894","E02004349"
"11085","E01020893","E02004350"
"11086","E01020856","E02004345"
"11087","E01020882","E02004354"
"11088","E01020870","E02004353"
"11089","E01020858","E02004345"
"11090","E01020859","E02004345"
"11091","E01034509","E02004354"
"11092","E01020883","E02004353"
"11093","E01020908","E02004355"
"11094","E01020877","E02004350"
"11095","E01020871","E02004353"
"11096","E01020884","E02004355"
"11097","E01020885","E02004355"
"11098","E01020886","E02004353"
"11099","E01020907","E02004355"
"11100","E01020881","E02004352"
"11101","E01020909","E02004355"
"11102","E01020802","E02004340"
"11103","E01020869","E02004352"
"11104","E01034505","E02004338"
"11105","E01020888","E02004354"
"11106","E01020875","E02004351"
"11107","E01020822","E02004337"
"11108","E01020821","E02004337"
"11109","E01020880","E02004352"
"11110","E01020838","E02004340"
"11111","E01020874","E02004352"
"11112","E01020873","E02004351"
"11113","E01020895","E02004354"
"11114","E01034510","E02004354"
"11115","E01020860","E02004345"
"11116","E01020896","E02004354"
"11117","E01020901","E02004351"
"11118","E01020904","E02004350"
"11119","E01020900","E02004351"
"11120","E01020902","E02004351"
"11121","E01020899","E02004350"
"11122","E01020887","E02004349"
"11123","E01020879","E02004350"
"11124","E01020898","E02004349"
"11125","E01020878","E02004349"
"11126","E01020876","E02004349"
"11127","E01034503","E02004337"
"11128","E01020819","E02004333"
"11129","E01020837","E02004333"
"11130","E01020835","E02004337"
"11131","E01034502","E02004335"
"11132","E01020818","E02004333"
"11133","E01034501","E02004335"
"11134","E01020817","E02004333"
"11135","E01020823","E02004337"
"11136","E01034504","E02004337"
"11137","E01034506","E02004338"
"11138","E01034507","E02004338"
"11139","E01034508","E02004338"
"11140","E01020805","E02004338"
"11141","E01020851","E02004341"
"11142","E01020833","E02004343"
"11143","E01020799","E02004336"
"11144","E01020798","E02004336"
"11145","E01020806","E02004335"
"11146","E01020807","E02004335"
"11147","E01020796","E02004339"
"11148","E01020810","E02004334"
"11149","E01012344","E02002573"
"11150","E01012345","E02002573"
"11151","E01012338","E02002573"
"11152","E01012346","E02002573"
"11153","E01012269","E02002539"
"11154","E01027592","E02005752"
"11155","E01033481","E02002559"
"11156","E01012339","E02002573"
"11157","E01033482","E02002559"
"11158","E01012348","E02002569"
"11159","E01012323","E02002560"
"11160","E01012310","E02002564"
"11161","E01012309","E02002564"
"11162","E01012362","E02007058"
"11163","E01012312","E02002564"
"11164","E01012313","E02002564"
"11165","E01012311","E02002564"
"11166","E01012353","E02007058"
"11167","E01012355","E02007058"
"11168","E01012365","E02007058"
"11169","E01012363","E02007058"
"11170","E01012364","E02007058"
"11171","E01035185","E02002568"
"11172","E01012337","E02002569"
"11173","E01012336","E02002569"
"11174","E01012315","E02002568"
"11175","E01012347","E02002569"
"11176","E01012314","E02002564"
"11177","E01020839","E02004340"
"11178","E01020801","E02004340"
"11179","E01020841","E02004340"
"11180","E01020840","E02004340"
"11181","E01020831","E02004343"
"11182","E01020850","E02004341"
"11183","E01020832","E02004344"
"11184","E01020848","E02004341"
"11185","E01020845","E02004344"
"11186","E01020814","E02004341"
"11187","E01020849","E02004342"
"11188","E01020815","E02004341"
"11189","E01020834","E02004343"
"11190","E01020825","E02004343"
"11191","E01020824","E02004344"
"11192","E01012335","E02002559"
"11193","E01020846","E02004344"
"11194","E01020844","E02004342"
"11195","E01020847","E02004342"
"11196","E01020816","E02004342"
"11197","E01020813","E02004341"
"11198","E01027608","E02007043"
"11199","E01027606","E02007042"
"11200","E01027610","E02007042"
"11201","E01027607","E02005754"
"11202","E01034961","E02007042"
"11203","E01027612","E02007043"
"11204","E01034962","E02007042"
"11205","E01027609","E02007042"
"11206","E01027605","E02007043"
"11207","E01027617","E02005752"
"11208","E01027613","E02005752"
"11209","E01027590","E02005752"
"11210","E01027627","E02005751"
"11211","E01027618","E02005751"
"11212","E01027780","E02005790"
"11213","E01027633","E02005756"
"11214","E01027616","E02007043"
"11215","E01027614","E02005754"
"11216","E01027615","E02005754"
"11217","E01027593","E02005755"
"11218","E01034958","E02005756"
"11219","E01027588","E02005755"
"11220","E01027589","E02005755"
"11221","E01027587","E02005755"
"11222","E01027758","E02005787"
"11223","E01027628","E02005756"
"11224","E01027753","E02005786"
"11225","E01027763","E02005786"
"11226","E01027744","E02005787"
"11227","E01033185","E02005787"
"11228","E01027760","E02005787"
"11229","E01033186","E02005787"
"11230","E01033184","E02005785"
"11231","E01027771","E02005785"
"11232","E01027772","E02005785"
"11233","E01034966","E02005785"
"11234","E01034967","E02005785"
"11235","E01027749","E02005785"
"11236","E01034238","E02001560"
"11237","E01007530","E02001560"
"11238","E01007655","E02001560"
"11239","E01007529","E02001560"
"11240","E01034237","E02001557"
"11241","E01034239","E02001560"
"11242","E01007647","E02001557"
"11243","E01034236","E02001557"
"11244","E01007654","E02001557"
"11245","E01007646","E02001557"
"11246","E01007653","E02001553"
"11247","E01007532","E02001561"
"11248","E01007534","E02001566"
"11249","E01013244","E02002768"
"11250","E01028032","E02005836"
"11251","E01028031","E02005836"
"11252","E01013250","E02002771"
"11253","E01027999","E02005836"
"11254","E01028023","E02005837"
"11255","E01007609","E02001576"
"11256","E01028005","E02005836"
"11257","E01028036","E02005837"
"11258","E01028034","E02005837"
"11259","E01007610","E02001576"
"11260","E01028027","E02005835"
"11261","E01028000","E02005835"
"11262","E01007594","E02001574"
"11263","E01007598","E02001574"
"11264","E01007595","E02001575"
"11265","E01007591","E02001574"
"11266","E01007597","E02001575"
"11267","E01007592","E02001575"
"11268","E01007611","E02001577"
"11269","E01007596","E02001574"
"11270","E01007590","E02001575"
"11271","E01007593","E02001575"
"11272","E01034245","E02001576"
"11273","E01028025","E02005835"
"11274","E01028028","E02005835"
"11275","E01028026","E02005835"
"11276","E01028024","E02005835"
"11277","E01028004","E02005838"
"11278","E01007613","E02001571"
"11279","E01007612","E02001577"
"11280","E01007614","E02001577"
"11281","E01034242","E02001566"
"11282","E01007545","E02001572"
"11283","E01007615","E02001577"
"11284","E01007616","E02001577"
"11285","E01007764","E02001597"
"11286","E01007547","E02001572"
"11287","E01007548","E02001572"
"11288","E01007546","E02001571"
"11289","E01007549","E02001572"
"11290","E01007550","E02001572"
"11291","E01007620","E02001558"
"11292","E01007537","E02001573"
"11293","E01007541","E02001573"
"11294","E01007540","E02001573"
"11295","E01007720","E02001587"
"11296","E01007536","E02001570"
"11297","E01007539","E02001573"
"11298","E01007538","E02001573"
"11299","E01007542","E02001570"
"11300","E01007544","E02001570"
"11301","E01007543","E02001570"
"11302","E01007579","E02001568"
"11303","E01013073","E02002725"
"11304","E01013075","E02002725"
"11305","E01027924","E02005818"
"11306","E01027890","E02005818"
