"","LSOA21CD","MSOA21CD"
"228","S01006670","S02001264"
"229","S01006674","S02001265"
"230","S01006667","S02001264"
"231","S01006671","S02001265"
"232","S01006669","S02001264"
"233","S01006672","S02001265"
"234","S01006673","S02001265"
"235","S01006683","S02001267"
"236","S01006682","S02001267"
"237","S01006684","S02001267"
"238","S01006681","S02001267"
"239","S01006679","S02001266"
"240","S01006685","S02001267"
"241","S01006693","S02001268"
"242","S01006692","S02001268"
"243","S01006690","S02001268"
"244","S01006676","S02001266"
"245","S01006688","S02001268"
"246","S01006687","S02001268"
"247","S01006689","S02001268"
"248","S01006675","S02001266"
"249","S01006678","S02001266"
"250","S01006677","S02001266"
"251","S01006680","S02001266"
"252","S01006642","S02001260"
"253","S01006662","S02001263"
"254","S01006691","S02001268"
"255","S01006665","S02001263"
"256","S01006663","S02001263"
"257","S01006651","S02001261"
"258","S01006658","S02001263"
"259","S01006664","S02001263"
"260","S01006659","S02001263"
"261","S01006660","S02001263"
"262","S01006661","S02001263"
"263","S01006650","S02001261"
"264","S01006657","S02001262"
"265","S01006649","S02001261"
"266","S01006655","S02001262"
"267","S01006653","S02001262"
"268","S01006654","S02001262"
"269","S01006569","S02001246"
"270","S01006566","S02001246"
"271","S01006568","S02001246"
"272","S01006567","S02001246"
"273","S01006756","S02001279"
"274","S01006775","S02001282"
"275","S01006787","S02001284"
"276","S01006782","S02001283"
"277","S01006786","S02001284"
"278","S01006759","S02001279"
"279","S01006761","S02001279"
"280","S01006739","S02001276"
"281","S01006788","S02001284"
"282","S01006784","S02001283"
"283","S01006954","S02001312"
"284","S01006783","S02001283"
"285","S01006780","S02001282"
"286","S01006764","S02001280"
"287","S01006765","S02001280"
"288","S01006785","S02001284"
"289","S01006779","S02001282"
"290","S01006772","S02001281"
"291","S01006770","S02001281"
"292","S01006773","S02001281"
"293","S01006763","S02001280"
"294","S01006769","S02001281"
"295","S01006778","S02001282"
"296","S01006781","S02001283"
"297","S01006774","S02001281"
"298","S01006776","S02001282"
"299","S01006777","S02001282"
"300","S01006771","S02001281"
"301","S01006766","S02001280"
"302","S01006767","S02001280"
"303","S01006738","S02001276"
"304","S01006757","S02001279"
"305","S01006768","S02001281"
"306","S01006758","S02001279"
"307","S01006760","S02001279"
"308","S01006743","S02001277"
"309","S01006745","S02001277"
"310","S01006740","S02001276"
"311","S01006741","S02001276"
"312","S01006744","S02001277"
"313","S01006747","S02001277"
"314","S01006746","S02001277"
"315","S01006742","S02001276"
"316","S01006950","S02001311"
"317","S01006927","S02001307"
"318","S01006953","S02001312"
"319","S01006956","S02001312"
"320","S01006955","S02001312"
"321","S01006972","S02001315"
"322","S01006805","S02001287"
"323","S01006801","S02001287"
"324","S01006806","S02001288"
"325","S01006802","S02001287"
"326","S01006804","S02001287"
"327","S01006803","S02001287"
"328","S01006812","S02001289"
"329","S01006811","S02001289"
"330","S01006818","S02001290"
"331","S01006807","S02001288"
"332","S01007225","S02001359"
"333","S01006835","S02001292"
"334","S01006831","S02001292"
"335","S01006832","S02001292"
"336","S01006836","S02001292"
"337","S01006839","S02001293"
"338","S01006828","S02001291"
"339","S01006833","S02001292"
"340","S01006837","S02001292"
"341","S01006827","S02001291"
"342","S01006830","S02001292"
"343","S01006823","S02001291"
"344","S01006822","S02001290"
"345","S01006825","S02001291"
"346","S01006841","S02001293"
"347","S01006840","S02001293"
"348","S01006824","S02001291"
"349","S01006826","S02001291"
"350","S01006820","S02001290"
"351","S01006819","S02001290"
"352","S01006838","S02001292"
"353","S01006829","S02001291"
"354","S01006854","S02001296"
"355","S01006855","S02001296"
"356","S01006872","S02001299"
"357","S01006865","S02001298"
"358","S01006800","S02001286"
"359","S01006798","S02001286"
"360","S01006859","S02001297"
"361","S01006863","S02001297"
"362","S01006861","S02001297"
"363","S01006873","S02001299"
"364","S01006867","S02001298"
"365","S01006866","S02001298"
"366","S01006860","S02001297"
"367","S01006868","S02001298"
"368","S01006862","S02001297"
"369","S01006876","S02001300"
"370","S01006869","S02001299"
"371","S01006871","S02001299"
"372","S01006870","S02001299"
"373","S01006874","S02001299"
"374","S01006796","S02001286"
"375","S01006877","S02001300"
"376","S01006879","S02001300"
"377","S01006875","S02001300"
"378","S01006795","S02001286"
"379","S01006799","S02001286"
"380","S01006797","S02001286"
"381","S01006794","S02001286"
"382","S01006792","S02001285"
"383","S01006790","S02001285"
"384","S01006789","S02001285"
"385","S01006791","S02001285"
"386","S01006793","S02001285"
"387","S01006939","S02001309"
"388","S01006938","S02001309"
"389","S01006935","S02001309"
"390","S01006929","S02001308"
"391","S01006945","S02001310"
"392","S01006930","S02001308"
"393","S01006937","S02001309"
"394","S01006942","S02001310"
"395","S01006940","S02001309"
"396","S01006931","S02001308"
"397","S01006932","S02001308"
"398","S01006936","S02001309"
"399","S01006944","S02001310"
"400","S01006933","S02001308"
"401","S01006856","S02001296"
"402","S01006886","S02001301"
"403","S01006880","S02001301"
"404","S01006858","S02001296"
"405","S01006881","S02001301"
"406","S01006883","S02001301"
"407","S01006884","S02001301"
"408","S01006882","S02001301"
"409","S01006885","S02001301"
"410","S01007005","S02001320"
"411","S01006888","S02001301"
"412","S01006887","S02001301"
"413","S01006878","S02001300"
"414","S01011046","S02002073"
"415","S01011045","S02002073"
"416","S01010547","S02001984"
"417","S01011052","S02002074"
"418","S01011047","S02002073"
"419","S01011051","S02002074"
"420","S01011054","S02002074"
"421","S01011056","S02002075"
"422","S01006864","S02001297"
"423","S01006943","S02001310"
"424","S01011053","S02002074"
"425","S01011050","S02002074"
"426","S01006834","S02001292"
"427","S01006974","S02001315"
"428","S01006975","S02001315"
"429","S01006973","S02001315"
"430","S01006970","S02001314"
"431","S01006978","S02001316"
"432","S01007062","S02001332"
"433","S01007061","S02001332"
"434","S01006983","S02001316"
"435","S01006980","S02001316"
"436","S01006979","S02001316"
"437","S01006982","S02001316"
"438","S01006990","S02001317"
"439","S01006977","S02001315"
"440","S01006981","S02001316"
"441","S01007032","S02001326"
"442","S01007036","S02001326"
"443","S01007035","S02001326"
"444","S01007033","S02001326"
"445","S01007034","S02001326"
"446","S01007041","S02001327"
"447","S01007038","S02001327"
"448","S01007040","S02001327"
"449","S01007039","S02001327"
"450","S01007043","S02001328"
"451","S01007023","S02001324"
"452","S01007028","S02001325"
