"","Local Authority Code","Petrol2024Q4","Diesel2024Q4","Hybrid2024Q4","BEV2024Q4","PHEV2024Q4","TotalCars","Petrol","Diesel","Hybrid","BEV","PHEV","Local Authority","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles","PetrolMile","DieselMile","HybridMile","BEVMile","PHEVMile","PetrolCO2e","DieselCO2e","HybridCO2e","BEVCO2e","PHEVCO2e","BaseCO2e","pCarBaseCO2e","pCarAnnMile","pBEVAnnCO2e","pHyVAnnCO2e","reduceCO2pBEVcc","reduceCO2pHyVc"
"20","E06000009",33900,19400,3700,937,401,58338,0.581096369433302,0.33254482498543,0.0634234975487675,0.0160615722170798,0.00687373581542048,"Blackpool",447.74,278.21,281500000,333800000,163578627.995475,93611368.2333985,17853714.5599781,4521332.57910796,1934956.63204087,43304170.189242,25587731.3929171,3622161.60992835,345203.742414893,336527.657444547,73195794.5919469,1254.68467537363,4825.32825945353,368.413812609277,978.962597277932,886.270862764355,275.7220780957
"21","E06000049",134500,71800,13600,7044,4863,231807,0.580224065709836,0.309740430616849,0.0586694966070912,0.030387348095614,0.0209786589706092,"East Cheshire",2771.06,1721.86,2235900000,2982200000,1297322988.52062,692548628.816213,131179127.463795,67943071.6069834,46906183.592385,343440314.751064,189301242.200624,26613621.3798548,5187453.51719318,8157923.45038761,572700555.299124,2470.59215338244,9645.52407822024,736.435763372116,1956.88392498932,1734.15639001033,513.708228393119
"22","E06000050",112100,65900,10200,5145,2744,196089,0.571679186491848,0.336071885725359,0.0520171962731209,0.0262380857671771,0.0139936457424945,"West Cheshire",2322.56,1443.17,1984800000,2.568e+09,1134668849.34902,667035478.787693,103243731.16289,52077352.6306932,27774588.069703,300380884.488166,182327477.771828,20946088.1783272,3976105.87335343,4830556.35708275,512461112.668758,2613.41081176791,10121.9344277343,772.809693557517,2053.53805669874,1840.60111821039,559.872755069166
"23","E06000006",36800,21600,3500,2541,639,65080,0.565457897971727,0.331899200983405,0.053779963122311,0.0390442532267978,0.00981868469575907,"Halton",600.53,373.15,503500000,643600000,284708051.628765,167111247.695144,27078211.4320836,19658781.4996927,4943707.74431469,75370762.5076828,45678188.4449908,5493627.53534112,1500947.96750154,859809.650891211,128903336.106407,1980.6904748987,7736.63183773817,590.691840811309,1569.60786724032,1389.99863408739,411.082607658382
"24","E06000007",66100,35500,7200,3127,1560,113487,0.582445566452545,0.312811158987373,0.0634433899918052,0.0275538167367187,0.0137460678315578,"Warrington",1013.65,629.85,1326600000,1768500000,772672288.455946,414975283.512649,84164001.1631288,36552893.2829311,18235533.5853446,204549534.922943,113429343.995347,17075192.5559756,2790813.40215179,3171524.00116313,341016408.877581,3004.89403083684,11689.4446059901,892.489095667345,2371.55452166327,2112.4049351695,633.339509173568
"33","E08000001",72500,42900,12100,2628,1629,131757,0.550255394400297,0.325599398893417,0.0918357278930152,0.0199458093308135,0.0123636694824563,"Bolton",1005.88,625.02,1044800000,1304500000,574906836.069431,340186251.963843,95949968.5026222,20839381.588834,12917561.8752704,152195086.71266,92986510.1117967,19466329.609812,1591086.78430747,2246622.36134702,268485635.579924,2037.73336961166,7929.74946302663,605.436371502083,1608.78757105884,1432.29699810958,428.945798552818
"34","E08000002",60200,28400,10300,2827,2139,103866,0.579592937053511,0.273429226118268,0.0991662334161323,0.0272177613463501,0.0205938420657385,"Bury",603.23,374.83,784200000,1021300000,454516781.237364,214423199.121946,77766160.244931,21344168.4478078,16149690.9479522,120324227.496967,58610437.2479926,15777198.5904916,1629627.26099012,2808754.24966784,199150244.846109,1917.37666653293,7550.11264513893,576.451100456357,1531.76685344579,1340.92556607657,385.609813087145
"35","E08000003",98800,57400,14300,5227,1906,177633,0.556202957783745,0.323138155635496,0.0805030596792263,0.0294258386673647,0.0107299882341682,"Manchester",1407.8,874.77,1442200000,1738800000,802155905.715717,466029848.057512,116101512.66938,42437944.5260734,15474789.0313174,212354732.920122,127384598.66804,23554674.8903638,3240137.06456571,2691375.30832672,369225518.851418,2078.58629225098,8118.98689995665,619.88464981169,1647.18006226321,1458.70164243929,431.406229987775
"36","E08000004",56100,33200,7300,1780,1192,99572,0.563411400795404,0.3334270678504,0.0733137829912024,0.0178765114690877,0.0119712368939059,"Oldham",832.91,517.55,583900000,7.25e+08,328975916.924437,194688064.917848,42807917.8885631,10438095.0468003,6990005.22235167,87089794.4874061,53216035.6646447,8684870.38123167,796948.556823203,1215701.7082714,151003350.798377,1516.52423169543,5864.09834089905,447.723908327642,1189.7082714016,1068.80032336778,326.815960293828
"37","E08000005",53800,33700,7500,1881,1212,98093,0.54845911532933,0.343551527631941,0.0764580551109661,0.0191756802218303,0.0123556217059321,"Rochdale",792.22,492.26,848100000,1132900000,465148175.710805,291366050.584649,64844076.5396104,16262894.3961343,10478802.768801,123138676.555921,79641996.266808,13155566.2483562,1241671.98714485,1822473.37754988,219000384.43578,2232.57912833516,8645.87687194805,660.112699173234,1754.07549978082,1572.46642916192,478.503628554335
