"","MSOA21CD","TotHhold","VehsReg","CarOwnRates","EVReg","EVRate","CarRedincCC","CCCarOwn","CCredCarOwn","EVincCC","EVRateincCC","ChangeEVuptake"
"1","E02000001",4915,2328,0.473652085452696,462,0.198453608247423,2319,0.471820956256358,-0.00183112919633771,471,0.20301724137931,0.456363313188768
"2","E02000002",2870,2646,0.921951219512195,48,0.018140589569161,2637,0.918815331010453,-0.00313588850174218,57,0.0216072782410917,0.346668867193074
"3","E02000003",3930,3909,0.994656488549618,81,0.0207214121258634,3900,0.99236641221374,-0.00229007633587786,90,0.0230710074339913,0.234959530812789
"4","E02000004",2309,2626,1.13728886964054,50,0.019040365575019,2617,1.13339107838891,-0.00389779125162404,59,0.0225362872421696,0.349592166715056
"5","E02000005",3086,3310,1.07258587167855,58,0.0175226586102719,3301,1.06966947504861,-0.0029163966299417,67,0.0202907328891581,0.276807427888618
"6","E02000007",3675,3073,0.836190476190476,57,0.0185486495281484,3064,0.833741496598639,-0.00244897959183665,66,0.0215334420880914,0.298479255994296
"7","E02000008",4622,4080,0.88273474686283,74,0.0181372549019608,4071,0.880787537862397,-0.00194720900043266,83,0.0203831041257367,0.224584922377595
"8","E02000009",3588,3529,0.98355629877369,74,0.0209691130631907,3520,0.981047937569677,-0.00250836120401343,83,0.0235728486225504,0.26037355593597
"9","E02000010",3327,2872,0.863240156296964,64,0.0222841225626741,2863,0.86053501653141,-0.00270513976555464,73,0.0254888268156425,0.320470425296836
"10","E02000011",2354,2388,1.01444350042481,59,0.0247068676716918,2379,1.01062022090059,-0.00382327952421413,68,0.0285714285714286,0.386456089973678
"11","E02000012",3289,3647,1.10884767406507,106,0.0290649849191116,3638,1.10611128002432,-0.00273639404074189,115,0.0316020884858478,0.253710356673616
"12","E02000013",3254,2969,0.912415488629379,42,0.0141461771640283,2960,0.909649661954517,-0.0027658266748618,51,0.0172239108409321,0.307773367690383
"13","E02000014",3388,2860,0.844155844155844,40,0.013986013986014,2851,0.841499409681228,-0.00265643447461628,49,0.0171809256661992,0.319491168018517
"14","E02000015",3033,2466,0.813056379821958,33,0.01338199513382,2457,0.810089020771513,-0.0029673590504451,42,0.0170870626525631,0.370506751874311
"15","E02000016",3386,2018,0.595983461311282,99,0.0490584737363726,2009,0.593325457767277,-0.00265800354400469,108,0.0537313432835821,0.467286954720944
"16","E02000017",2765,2423,0.87631103074141,52,0.0214609987618655,2414,0.873056057866184,-0.00325497287522603,61,0.0252587991718426,0.37978004099772
"17","E02000018",3234,2799,0.865491651205937,49,0.0175062522329403,2790,0.862708719851577,-0.00278293135435992,58,0.0207810820494446,0.32748298165043
"18","E02000019",3206,2951,0.920461634435434,55,0.018637749915283,2942,0.917654398003743,-0.00280723643169067,64,0.0217465171593612,0.310876724407824
"19","E02000020",3140,4135,1.31687898089172,95,0.0229746070133011,4126,1.3140127388535,-0.00286624203821662,104,0.0251999030772959,0.222529606399477
"20","E02000021",2931,2590,0.883657454793586,39,0.0150579150579151,2581,0.880586830433299,-0.0030706243602866,48,0.0185902401239349,0.353232506601987
"21","E02000022",3545,1608,0.453596614950635,44,0.027363184079602,1599,0.451057827926657,-0.00253878702397742,53,0.033125,0.576181592039801
