Local.Authority.Code,Petrol2024Q2,Diesel2024Q2,Hybrid2024Q2,BEV2024Q2,PHEV2024Q2,TotalCars,Petrol,Diesel,Hybrid,BEV,PHEV,Local.Authority,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles,PetrolMile,DieselMile,HybridMile,BEVMile,PHEVMile,PetrolCO2e,DieselCO2e,HybridCO2e,BEVCO2e,PHEVCO2e,BaseCO2e,pCarBaseCO2e,pCarAnnMile,pBEVAnnCO2e,pHyVAnnCO2e,reduceCO2pBEVcc,reduceCO2pHyVc
E06000049,136200,73500,11700,5908,4276,231584,0.588123532,0.317379439,0.050521625,0.025511262,0.018464143,East Cheshire,2753.7,1711.07,2198800000,2.96E+09,1293166022,697853910.5,111086949,56094161.95,40598956.75,342339841,190751387.9,22537320.22,4282789.265,7060970.558,566972308.9,2448.2361,9494.611027,724.9135519,1926.266685,1723.322548,521.9694145
E06000050,113400,67600,8700,4208,2350,196258,0.577810841,0.344444558,0.044329403,0.021441164,0.011974034,West Cheshire,2307.62,1433.89,1922500000,2507300000,1110841341,662194662.1,85223277.52,41220638.14,23020080.71,294073028.3,181004288.9,17290098.54,3147195.722,4003652.437,499518264,2545.212241,9795.779026,747.9077286,1987.367649,1797.304512,557.8445922
E06000006,37100,22300,2900,2120,502,64922,0.571454977,0.34348911,0.044668987,0.03265457,0.007732356,Halton,598.95,372.17,495600000,6.34E+08,283213086.5,170233202.9,22137950.16,16183604.94,3832155.51,74975000.38,46531543.69,4491347.328,1235618.237,666488.4862,127899998.1,1970.056346,7633.775916,582.8387912,1548.740458,1387.217555,421.3158886
E06000007,66500,36500,6100,2530,1336,112966,0.588672698,0.323106067,0.053998548,0.022396119,0.011826567,Warrington,1008.94,626.93,1.28E+09,1.72E+09,753501053.4,413575766.2,69118141.74,28667032.56,15138006.13,199474333.9,113046799.9,14022688.6,2188727.936,2632802.025,331365352.4,2933.319338,11330.84291,865.1098561,2298.801409,2068.209482,634.5179288
E10000006,140500,108800,12700,3518,2233,267751,0.524741271,0.406347689,0.047432129,0.013139073,0.008339838,Cumbria,7969.77,4952.19,2658100000,3.72E+09,1394814772,1080112791,126079342.4,34924970.59,22168123.74,369249314.6,295238030.4,25578976.98,2666521.504,3855480.081,696588323.5,2601.627346,9927.507274,757.9651803,2014.092676,1843.662166,587.5346704
E08000001,73400,43900,10700,2101,1375,131476,0.558276796,0.333901244,0.081383675,0.015980103,0.010458182,Bolton,1002.28,622.79,1036700000,1299200000,578765554.2,346155420,84370455.44,16566572.61,10841997.78,153216605.2,94618122.5,17117078,1264857.818,1885640.254,268102303.7,2039.172957,7885.089294,602.0265676,1599.726916,1437.14639,439.4460413
E08000002,62300,29500,9500,2099,1564,104963,0.593542486,0.281051418,0.090508084,0.019997523,0.014900489,Bury,602.46,374.35,781600000,1018800000,463912807.4,219669788.4,70741118.3,15630063.93,11646222,122811637.5,60044539.96,14351958.08,1193355.381,2025510.931,200427001.8,1909.501461,7446.433505,568.5351981,1510.73243,1340.966263,398.7690315
E08000003,99000,59000,12600,4043,1625,176268,0.561644768,0.334717589,0.071482061,0.022936665,0.009218917,Manchester,1406.77,874.13,1382500000,1677800000,776473892,462747067,98823949.89,31709938.84,12745152.27,205555933.4,126487283.3,20049402.95,2421053.831,2216636.882,356730310.4,2023.795076,7843.170627,598.8260773,1591.222457,1424.968998,432.5726189
E08000004,56500,33900,6300,1472,989,99161,0.569780458,0.341868275,0.063533042,0.014844546,0.009973679,Oldham,832.16,517.08,585600000,726100000,333663436.2,200198061.7,37204949.53,8692965.985,5840586.521,88330721.47,54722138.2,7548140.16,663707.9529,1015794.808,152280502.6,1535.68946,5905.547544,450.888555,1198.117486,1084.800905,337.5719748
E08000005,53800,34500,6400,1489,1003,97192,0.553543502,0.354967487,0.065849041,0.015320191,0.010319779,Rochdale,789.98,490.87,819500000,1112200000,453628899.5,290895855.6,53963289.16,12554896.49,8457059.223,120089178.6,79513473.18,10948072.1,958566.3473,1470851.74,212980141.9,2191.33408,8431.763931,643.7651761,1710.636266,1547.568904,480.6978139
